fid,inode,dev,ftype,op,gp,tp,numoflinks,uid,size,ctime,mtime,name,abspath
2533,3148267,112,-,6,4,4,1,0,505,1581368668.6310809,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/multiprocessing/__pycache__/__init__.cpython-36.pyc
2534,3148280,112,-,6,4,4,1,0,7957,1581368668.6380808,1581368667.0,reduction.cpython-36.pyc,/usr/lib/python3.6/multiprocessing/__pycache__/reduction.cpython-36.pyc
2535,3148278,112,-,6,4,4,1,0,8139,1581368668.6360807,1581368667.0,process.cpython-36.pyc,/usr/lib/python3.6/multiprocessing/__pycache__/process.cpython-36.pyc
2536,3148279,112,-,6,4,4,1,0,8945,1581368668.637081,1581368667.0,queues.cpython-36.pyc,/usr/lib/python3.6/multiprocessing/__pycache__/queues.cpython-36.pyc
2537,3148283,112,-,6,4,4,1,0,6874,1581368668.6380808,1581368667.0,sharedctypes.cpython-36.pyc,/usr/lib/python3.6/multiprocessing/__pycache__/sharedctypes.cpython-36.pyc
2538,3148284,112,-,6,4,4,1,0,6441,1581368668.6380808,1581368667.0,spawn.cpython-36.pyc,/usr/lib/python3.6/multiprocessing/__pycache__/spawn.cpython-36.pyc
2539,3148285,112,-,6,4,4,1,0,11566,1581368668.6390808,1581368667.0,synchronize.cpython-36.pyc,/usr/lib/python3.6/multiprocessing/__pycache__/synchronize.cpython-36.pyc
2540,3148271,112,-,6,4,4,1,0,6077,1581368668.6320808,1581368667.0,heap.cpython-36.pyc,/usr/lib/python3.6/multiprocessing/__pycache__/heap.cpython-36.pyc
2541,3147761,112,d,7,5,5,3,0,4096,1581368668.8560808,1581368667.0,futures,/usr/lib/python3.6/concurrent/futures
2542,3147759,112,d,7,5,5,2,0,4096,1581368668.8560808,1581368667.0,__pycache__,/usr/lib/python3.6/concurrent/__pycache__
2543,3147758,112,-,6,4,4,1,0,38,1581368668.4570808,1573123442.0,__init__.py,/usr/lib/python3.6/concurrent/__init__.py
2544,3147763,112,d,7,5,5,2,0,4096,1581368668.8560808,1581368667.0,__pycache__,/usr/lib/python3.6/concurrent/futures/__pycache__
2545,3147762,112,-,6,4,4,1,0,800,1581368668.4570808,1573123442.0,__init__.py,/usr/lib/python3.6/concurrent/futures/__init__.py
2546,3147769,112,-,6,4,4,1,0,20492,1581368668.463081,1573123442.0,process.py,/usr/lib/python3.6/concurrent/futures/process.py
2547,3147770,112,-,6,4,4,1,0,5511,1581368668.463081,1573123442.0,thread.py,/usr/lib/python3.6/concurrent/futures/thread.py
2548,3147768,112,-,6,4,4,1,0,21235,1581368668.4620807,1573123442.0,_base.py,/usr/lib/python3.6/concurrent/futures/_base.py
2549,3147767,112,-,6,4,4,1,0,3912,1581368668.4620807,1581368667.0,thread.cpython-36.pyc,/usr/lib/python3.6/concurrent/futures/__pycache__/thread.cpython-36.pyc
2550,3147764,112,-,6,4,4,1,0,640,1581368668.4610808,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/concurrent/futures/__pycache__/__init__.cpython-36.pyc
2551,3147766,112,-,6,4,4,1,0,15829,1581368668.4610808,1581368667.0,process.cpython-36.pyc,/usr/lib/python3.6/concurrent/futures/__pycache__/process.cpython-36.pyc
2552,3147765,112,-,6,4,4,1,0,20632,1581368668.4610808,1581368667.0,_base.cpython-36.pyc,/usr/lib/python3.6/concurrent/futures/__pycache__/_base.cpython-36.pyc
2553,3147760,112,-,6,4,4,1,0,124,1581368668.4570808,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/concurrent/__pycache__/__init__.cpython-36.pyc
2554,3148523,112,d,7,5,5,2,0,4096,1581368668.8570807,1581368667.0,__pycache__,/usr/lib/python3.6/wsgiref/__pycache__
2555,3148530,112,-,6,4,4,1,0,21001,1581368668.7140808,1573123442.0,handlers.py,/usr/lib/python3.6/wsgiref/handlers.py
2556,3148531,112,-,6,4,4,1,0,6766,1581368668.7140808,1573123442.0,headers.py,/usr/lib/python3.6/wsgiref/headers.py
2557,3148532,112,-,6,4,4,1,0,5139,1581368668.7140808,1573123442.0,simple_server.py,/usr/lib/python3.6/wsgiref/simple_server.py
2558,3148534,112,-,6,4,4,1,0,15163,1581368668.7150807,1573123442.0,validate.py,/usr/lib/python3.6/wsgiref/validate.py
2559,3148533,112,-,6,4,4,1,0,5634,1581368668.7150807,1573123442.0,util.py,/usr/lib/python3.6/wsgiref/util.py
2560,3148522,112,-,6,4,4,1,0,587,1581368668.7120807,1573123442.0,__init__.py,/usr/lib/python3.6/wsgiref/__init__.py
2561,3148528,112,-,6,4,4,1,0,5192,1581368668.713081,1581368667.0,util.cpython-36.pyc,/usr/lib/python3.6/wsgiref/__pycache__/util.cpython-36.pyc
2562,3148529,112,-,6,4,4,1,0,14800,1581368668.7140808,1581368667.0,validate.cpython-36.pyc,/usr/lib/python3.6/wsgiref/__pycache__/validate.cpython-36.pyc
2563,3148524,112,-,6,4,4,1,0,716,1581368668.7120807,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/wsgiref/__pycache__/__init__.cpython-36.pyc
2564,3148526,112,-,6,4,4,1,0,7737,1581368668.713081,1581368667.0,headers.cpython-36.pyc,/usr/lib/python3.6/wsgiref/__pycache__/headers.cpython-36.pyc
2565,3148525,112,-,6,4,4,1,0,16148,1581368668.713081,1581368667.0,handlers.cpython-36.pyc,/usr/lib/python3.6/wsgiref/__pycache__/handlers.cpython-36.pyc
2566,3148527,112,-,6,4,4,1,0,5193,1581368668.713081,1581368667.0,simple_server.cpython-36.pyc,/usr/lib/python3.6/wsgiref/__pycache__/simple_server.cpython-36.pyc
2567,3148163,112,d,7,5,5,2,0,4096,1581368668.8570807,1581368667.0,__pycache__,/usr/lib/python3.6/http/__pycache__
2568,3148171,112,-,6,4,4,1,0,21390,1581368668.5510807,1573123442.0,cookies.py,/usr/lib/python3.6/http/cookies.py
2569,3148170,112,-,6,4,4,1,0,76821,1581368668.5500808,1573123442.0,cookiejar.py,/usr/lib/python3.6/http/cookiejar.py
2570,3148169,112,-,6,4,4,1,0,55257,1581368668.5500808,1573123442.0,client.py,/usr/lib/python3.6/http/client.py
2571,3148162,112,-,6,4,4,1,0,5953,1581368668.545081,1573123442.0,__init__.py,/usr/lib/python3.6/http/__init__.py
2572,3148172,112,-,6,4,4,1,0,43792,1581368668.5510807,1573123442.0,server.py,/usr/lib/python3.6/http/server.py
2573,3148167,112,-,6,4,4,1,0,16152,1581368668.548081,1581368667.0,cookies.cpython-36.pyc,/usr/lib/python3.6/http/__pycache__/cookies.cpython-36.pyc
2574,3148168,112,-,6,4,4,1,0,32218,1581368668.548081,1581368667.0,server.cpython-36.pyc,/usr/lib/python3.6/http/__pycache__/server.cpython-36.pyc
2575,3148164,112,-,6,4,4,1,0,6527,1581368668.5470808,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/http/__pycache__/__init__.cpython-36.pyc
2576,3148166,112,-,6,4,4,1,0,54087,1581368668.548081,1581368667.0,cookiejar.cpython-36.pyc,/usr/lib/python3.6/http/__pycache__/cookiejar.cpython-36.pyc
2577,3148165,112,-,6,4,4,1,0,34542,1581368668.5470808,1581368667.0,client.cpython-36.pyc,/usr/lib/python3.6/http/__pycache__/client.cpython-36.pyc
2578,3148155,112,d,7,5,5,2,0,4096,1581368668.8570807,1581368667.0,__pycache__,/usr/lib/python3.6/html/__pycache__
2579,3148160,112,-,6,4,4,1,0,17729,1581368668.545081,1573123442.0,parser.py,/usr/lib/python3.6/html/parser.py
2580,3148159,112,-,6,4,4,1,0,75315,1581368668.5440807,1573123442.0,entities.py,/usr/lib/python3.6/html/entities.py
2581,3148154,112,-,6,4,4,1,0,4756,1581368668.5390809,1573123442.0,__init__.py,/usr/lib/python3.6/html/__init__.py
2582,3148158,112,-,6,4,4,1,0,11164,1581368668.5440807,1581368667.0,parser.cpython-36.pyc,/usr/lib/python3.6/html/__pycache__/parser.cpython-36.pyc
2583,3148156,112,-,6,4,4,1,0,3377,1581368668.5430808,1581368667.0,__init__.cpython-36.pyc,/usr/lib/python3.6/html/__pycache__/__init__.cpython-36.pyc
2584,3148157,112,-,6,4,4,1,0,50447,1581368668.5430808,1581368667.0,entities.cpython-36.pyc,/usr/lib/python3.6/html/__pycache__/entities.cpython-36.pyc
2585,3148236,112,-,6,4,4,1,0,51624,1581368668.6080809,1573123442.0,audioop.cpython-36m-x86_64-linux-gnu.so,/usr/lib/python3.6/lib-dynload/audioop.cpython-36m-x86_64-linux-gnu.so
2586,3148222,112,-,6,4,4,1,0,175008,1581368668.5930808,1573123442.0,_decimal.cpython-36m-x86_64-linux-gnu.so,/usr/lib/python3.6/lib-dynload/_decimal.cpython-36m-x86_64-linux-gnu.so
2587,3148214,112,-,6,4,4,1,0,112944,1581368668.5830808,1573123442.0,_codecs_tw.cpython-36m-x86_64-linux-gnu.so,/usr/lib/python3.6/lib-dynload/_codecs_tw.cpython-36m-x86_64-linux-gnu.so
2588,3148234,112,-,6,4,4,1,0,6312,1581368668.6050808,1573123442.0,_testimportmultiple.cpython-36m-x86_64-linux-gnu.so,/usr/lib/python3.6/lib-dynload/_testimportmultiple.cpython-36m-x86_64-linux-gnu.so
2589,3148208,112,-,6,4,4,1,0,22040,1581368668.5700808,1573123442.0,_bz2.cpython-36m-x86_64-linux-gnu.so,/usr/lib/python3.6/lib-dynload/_bz2.cpython-36m-x86_64-linux-gnu.so
2590,3148216,112,-,6,4,4,1,0,38304,1581368668.5840807,1573123442.0,_csv.cpython-36m-x86_64-linux-gnu.so,/usr/lib/python3.6/lib-dynload/_csv.cpython-36m-x86_64-linux-gnu.so
2591,3148218,112,-,6,4,4,1,0,18840,1581368668.5870807,1573123442.0,_ctypes_test.cpython-36m-x86_64-linux-gnu.so,/usr/lib/python3.6/lib-dynload/_ctypes_test.cpython-36m-x86_64-linux-gnu.so
